,index,ticker,Date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,Adj Close,adj_volume
0,3227869,SPY,2024-12-02,602.97,604.32,602.47,603.63,30606786.0,0.0,1.0,602.97,604.32,602.47,603.63,30606786.0
1,4739713,SPY,1995-11-08,58.890598,59.375,58.890598,59.3437,357200.0,0.0,1.0,34.937752474939714,35.22513140721623,34.937752474939714,35.206562201101775,357200.0
2,5550836,SPY,2023-10-19,430.95,432.82,425.725,426.43,121146800.0,0.0,1.0,426.5146486152818,428.36540251459866,421.3434244848378,422.04116860196,121146800.0
3,5906344,SPY,2024-08-05,511.64,523.58,510.27,517.38,141530497.0,0.0,1.0,510.0731745912583,521.9766100236319,508.70737002322215,515.7955966500376,141530497.0
4,6942297,SPY,2024-12-10,605.37,605.8,602.13,602.8,36619144.0,0.0,1.0,605.37,605.8,602.13,602.8,36619144.0
5,7457263,SPY,2024-01-18,474.01,477.06,472.42,476.49,90480681.0,0.0,1.0,471.0367404302362,474.0676091003323,469.4567138120551,473.5011844636258,90480681.0
6,7458141,SPY,2023-10-20,425.98,426.54,421.08,421.19,123851828.0,0.0,1.0,421.59580001656286,422.1500364783904,416.7462309755723,416.8550988520027,123851828.0
7,7506754,SPY,2013-07-30,169.100006,169.279999,168.190002,168.589996,85209600.0,0.0,1.0,136.9594942991385,137.10527637709646,136.22245300269884,136.54642091528834,85209600.0
8,7532509,SPY,2011-11-14,126.190002,127.449997,124.919998,125.459999,159258300.0,0.0,1.0,98.39853822148612,99.38103813591182,97.4082336398645,97.829307482451,159258300.0
9,7538067,SPY,2009-09-22,107.080002,107.370003,106.599998,107.07,143126700.0,0.0,1.0,80.29005427072309,80.50750099834423,79.93014068751114,80.28255463392989,143126700.0
10,7538144,SPY,2009-07-22,94.959999,96.129997,94.889999,95.550003,196068100.0,0.0,1.0,70.86498395634561,71.73810832841892,70.81274565675439,71.30528118080304,196068100.0
11,7550828,SPY,1994-05-24,45.609299,45.8437,45.609299,45.671799,549600.0,0.0,1.0,26.07053739922646,26.20452235779633,26.07053739922646,26.106262758378584,549600.0
12,7717373,SPY,2024-10-04,572.35,573.36,568.1,572.98,42882620.0,0.0,1.0,572.35,573.36,568.1,572.98,42882620.0
13,8539360,SPY,2024-09-03,560.47,560.81,549.51,552.08,59558313.0,0.0,1.0,558.7536395965182,559.0925983944248,547.8272030522288,550.3893327893478,59558313.0
14,9576174,SPY,2022-09-14,394.47,396.2,391.12,394.6,84792080.0,0.0,1.0,377.9342993047172,379.59177981729647,374.7247272138844,378.058849863466,84792080.0
15,9576456,SPY,2021-09-27,442.81,444.05,441.9,442.64,61221513.0,0.0,1.0,419.6425315075616,420.81765568964727,418.78014198683735,419.4814257729207,61221513.0
16,9576547,SPY,2021-07-28,439.68,440.3,437.31,438.83,52393179.0,0.0,1.0,415.3325130514654,415.9181802596439,413.0937529169768,414.5295822015433,52393179.0
17,9576559,SPY,2021-07-27,439.91,439.94,435.99,439.01,67277189.0,0.0,1.0,415.5497766932091,415.5781154290887,411.84684853827423,414.69961461682095,67277189.0
18,9576866,SPY,2020-09-03,355.87,356.38,342.59,345.39,147331052.0,0.0,1.0,331.1923096763685,331.66694389092703,318.8332069913931,321.4390418948518,147331052.0
19,9576935,SPY,2020-08-26,344.76,347.86,344.17,347.57,50614415.0,0.0,1.0,320.8527290415736,323.7377605418314,320.303642401202,323.4678704982589,50614415.0
20,9577063,SPY,2020-06-22,307.99,311.05,306.75,310.62,74007212.0,0.0,1.0,286.6325328272255,289.48033811457674,285.4785202271224,289.0801563258313,74007212.0
21,9577216,SPY,2020-03-25,244.87,256.35,239.75,246.79,297989659.0,0.0,1.0,226.88525756311373,237.5220965259289,222.1413015100115,228.66424108302704,297989659.0
22,9577338,SPY,2020-02-18,336.51,337.6677,335.21,336.73,57195407.0,0.0,1.0,309.8909420812975,310.95706416874674,308.6937763961598,310.0935393510901,57195407.0
23,9577585,SPY,2019-06-19,292.55,293.65,291.47,293.06,78519949.0,0.0,1.0,265.56496865255406,266.5635038277986,264.5845886623139,266.02792587016745,78519949.0
24,9577715,SPY,2019-05-24,283.74,284.2,282.09,282.78,55268095.0,0.0,1.0,257.56760965809497,257.9851789131972,256.069806895228,256.69616077788146,55268095.0
25,9577830,SPY,2019-05-09,285.23,287.33,283.3,286.66,103471104.0,0.0,1.0,258.9201709409263,260.8264653663932,257.1681955879971,260.2182666687443,103471104.0
26,9580932,SPY,2018-12-26,235.97,246.18,233.76,246.18,218485360.0,0.0,1.0,213.2691021364616,222.49687487373023,211.2717096046924,222.49687487373023,218485360.0
27,9581243,SPY,2018-12-07,269.46,271.22,262.63,263.57,160919250.0,0.0,1.0,242.0935707959524,243.67482472826475,235.9572274108995,236.80176076111172,160919250.0
28,9581582,SPY,2018-12-06,265.92,269.97,262.44,269.84,203991309.0,0.0,1.0,238.91309413664243,242.5517750604293,235.7865238613885,242.4349778949744,203991309.0
29,9583038,SPY,2018-11-05,272.44,274.01,271.35,273.39,65622482.0,0.0,1.0,244.77092120407207,246.18147158687344,243.7916218937196,245.62443895162704,65622482.0
30,9583044,SPY,2018-11-02,274.75,275.23,269.59,271.89,122634107.0,0.0,1.0,246.84631699023203,247.27756806268087,242.2103679614073,244.2767793502245,122634107.0
31,9597163,SPY,2018-09-24,291.34,291.5,290.37,291.02,53356561.0,0.0,1.0,261.7514321817441,261.89518253922705,260.87994563950383,261.46393146677826,53356561.0
32,9597211,SPY,2018-09-20,292.64,293.94,291.2363,293.58,100360646.0,0.0,1.0,261.7334953655624,262.8961988373203,260.47804393224965,262.57421941437195,100360646.0
33,9615073,SPY,2018-08-15,282.38,282.54,280.16,281.78,102875001.0,0.0,1.0,252.55708181153463,252.7001837772895,250.5715420366866,252.0204494399541,102875001.0
34,9615575,SPY,2018-08-06,283.64,284.99,283.2015,284.64,39400887.0,0.0,1.0,253.68400979185387,254.89143262791012,253.2918209669571,254.57839707782148,39400887.0
35,9615749,SPY,2018-07-31,280.81,282.02,280.38,281.33,68243676.0,0.0,1.0,251.15289377256556,252.2351023885863,250.76830723959944,251.61797516126867,68243676.0
36,9617370,SPY,2018-06-12,279.03,279.33,278.19,278.92,72298316.0,0.0,1.0,248.44385972481075,248.7109749379328,247.69593712806903,248.34591747999937,72298316.0
37,9617537,SPY,2017-12-11,265.58,266.38,265.4793,266.31,83077533.0,0.0,1.0,234.3379046159344,235.0437948324144,234.249050684935,234.9820294384724,83077533.0
38,9617609,SPY,2017-12-07,263.09,264.43,262.94,264.07,77137198.0,0.0,1.0,232.1408213171405,233.32318742974448,232.00846690155052,233.0055368323285,77137198.0
39,9617697,SPY,2017-12-05,264.43,265.15,263.04,263.19,77959019.0,0.0,1.0,233.32318742974448,233.9584886245764,232.09670317861057,232.22905759420053,77959019.0
40,9618510,SPY,2015-01-14,199.649994,201.100006,198.570007,200.860001,192991100.0,0.0,1.0,166.56371225784602,167.77342620123048,165.66270224373997,167.5731951721204,192991100.0
41,9619039,SPY,2013-02-22,151.149994,151.889999,150.490005,151.889999,106356600.0,0.0,1.0,121.23894865750904,121.83251420010043,120.70956476295513,121.83251420010043,106356600.0
42,9627702,SPY,2011-11-01,122.029999,123.510002,121.519997,122.0,416565800.0,0.0,1.0,95.15471376860278,96.3087682060012,94.75703209418586,95.13132160043315,416565800.0
43,9627760,SPY,2011-10-19,122.379997,123.080002,120.709999,121.129997,226601300.0,0.0,1.0,95.4276299349758,95.9734692856062,94.12542405948334,94.45292377103694,226601300.0
44,9630155,SPY,2007-08-17,145.5,145.809998,141.389999,144.710007,388218100.0,0.0,1.0,103.654959756915,103.87580395083064,100.72697358333504,103.0921646186109,388218100.0
45,9632831,SPY,2006-02-08,125.849998,128.100006,125.599998,126.620003,59422200.0,0.0,1.0,87.3038345101896,88.86469529048618,87.13040615123526,87.83799732433616,59422200.0
46,9633270,SPY,2005-09-07,123.629997,124.129997,123.459999,123.910004,41749700.0,0.0,1.0,84.95103476470436,85.29460443560188,84.83422245087789,85.14343859038237,41749700.0
47,9634669,SPY,2002-07-03,94.620003,95.839996,93.720001,95.510002,30565800.0,0.0,1.0,61.69788931278896,62.49339756358005,61.1110342925319,62.278221780021006,30565800.0
48,9635044,SPY,2001-05-10,127.260002,127.5,125.769997,126.019997,6872400.0,0.0,1.0,81.62990443940515,81.78384922565189,80.674152719676,80.83451320835375,6872400.0
49,9635045,SPY,2001-05-09,125.25,126.550003,125.059998,125.650002,9507400.0,0.0,1.0,80.34060482755214,81.1744812930023,80.21872957327315,80.59718289232046,9507400.0
50,9635251,SPY,2000-08-28,151.25,152.906204,151.25,151.765594,5518700.0,0.0,1.0,96.20249126178082,97.25591903591454,96.20249126178082,96.53043458263784,5518700.0
