Date,Close,Call Cost,Put Cost,Call Payoff,Put Payoff,Ark Delta P,Cash,Interest Cost,Portfolio Value,Portfolio Returns
2014-11-03,18.391508102416992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.391508102416992,
2014-11-04,18.283218383789062,0.0,0.0,0.0,0.0,-0.10828971862792969,0.0,0.0,18.283218383789062,-0.0058880282152444785
2014-11-05,18.048587799072266,0.0,0.0,0.0,0.0,-0.23463058471679688,0.0,0.0,18.048587799072266,-0.012833111752624138
2014-11-06,18.174922943115234,0.0,0.0,0.0,0.0,0.12633514404296875,0.0,0.0,18.174922943115234,0.006999724601692181
2014-11-07,18.156877517700195,0.0,0.0,0.0,0.0,-0.018045425415039062,0.0,0.0,18.156877517700195,-0.0009928749338590226
2014-11-10,18.31931495666504,0.0,0.0,0.0,0.0,0.16243743896484375,0.0,0.0,18.31931495666504,0.008946331152286158
2014-11-11,18.31028938293457,0.0,0.0,0.0,0.0,-0.00902557373046875,0.0,0.0,18.31028938293457,-0.0004926807444393111
2014-11-12,18.373462677001957,0.0,0.0,0.0,0.0,0.06317329406738637,0.0,0.0,18.373462677001957,0.003450152684439045
2014-11-13,18.35541343688965,0.0,0.0,0.0,0.0,-0.01804924011230824,0.0,0.0,18.35541343688965,-0.0009823537582221986
2014-11-14,18.445655822753903,0.0,0.0,0.0,0.0,0.09024238586425426,0.0,0.0,18.445655822753903,0.004916390806152693
2014-11-17,18.41858291625977,0.0,0.0,0.0,0.0,-0.02707290649413352,0.0,0.0,18.41858291625977,-0.0014677117883082902
2014-11-18,18.590044021606445,0.0,0.0,0.0,0.0,0.17146110534667613,0.0,0.0,18.590044021606445,0.009309136654335859
2014-11-19,18.31028938293457,0.0,0.0,0.0,0.0,-0.279754638671875,0.0,0.0,18.31028938293457,-0.015048627014907945
2014-11-20,18.30126571655273,0.0,0.0,0.0,0.0,-0.00902366638183949,0.0,0.0,18.30126571655273,-0.0004928194302734612
2014-11-21,18.373462677001957,0.0,0.0,0.0,0.0,0.07219696044922586,0.0,0.0,18.373462677001957,0.003944916246089392
2014-11-24,18.49077606201172,0.0,0.0,0.0,0.0,0.11731338500976207,0.0,0.0,18.49077606201172,0.006384936093543292
2014-11-25,18.517847061157227,0.0,0.0,0.0,0.0,0.027070999145507812,0.0,0.0,18.517847061157227,0.001464027202250584
2014-11-26,18.553943634033203,0.0,0.0,0.0,0.0,0.03609657287597656,0.0,0.0,18.553943634033203,0.0019492856138600967
2014-11-28,18.581018447875977,0.0,0.0,0.0,0.0,0.027074813842773438,0.0,0.0,18.581018447875977,0.0014592484690483243
2014-12-01,18.2922420501709,0.0,0.0,0.0,0.0,-0.2887763977050781,0.0,0.0,18.2922420501709,-0.015541473063769962
2014-12-02,18.093706130981445,0.0,0.0,0.0,0.0,-0.19853591918945312,0.0,0.0,18.093706130981445,-0.010853558500096394
2014-12-03,18.129802703857425,0.0,0.0,0.0,0.0,0.036096572875980115,0.0,0.0,18.129802703857425,0.001994979503628258
2014-12-04,18.102731704711918,0.0,0.0,0.0,0.0,-0.027070999145507812,0.0,0.0,18.102731704711918,-0.0014931767095153203
2014-12-05,18.14785385131836,0.0,0.0,0.0,0.0,0.04512214660644176,0.0,0.0,18.14785385131836,0.0024925600921708035
2014-12-08,17.804933547973633,0.0,0.0,0.0,0.0,-0.34292030334472656,0.0,0.0,17.804933547973633,-0.018895914974531025
2014-12-09,17.850053787231445,0.0,0.0,0.0,0.0,0.0451202392578125,0.0,0.0,17.850053787231445,0.00253414252494899
2014-12-10,17.804933547973633,0.0,0.0,0.0,0.0,-0.0451202392578125,0.0,0.0,17.804933547973633,-0.002527736879431086
2014-12-11,17.84103012084961,0.0,0.0,0.0,0.0,0.03609657287597656,0.0,0.0,17.84103012084961,0.002027335444904521
2014-12-12,17.694833755493164,0.0,0.0,0.0,0.0,-0.1461963653564453,0.0,0.0,17.694833755493164,-0.00819439036682057
2014-12-15,17.39883804321289,0.0,0.0,0.0,0.0,-0.29599571228027344,0.0,0.0,17.39883804321289,-0.016727804079446962
2014-12-16,17.10103416442871,0.0,0.0,0.0,0.0,-0.2978038787841797,0.0,0.0,17.10103416442871,-0.017116308459480756
2014-12-17,17.290542602539062,0.0,0.0,0.0,0.0,0.18950843811035156,0.0,0.0,17.290542602539062,0.01108169460912145
2014-12-18,17.94029426574707,0.0,0.0,0.0,0.0,0.6497516632080078,0.0,0.0,17.94029426574707,0.03757844262866539
2014-12-19,18.192975997924805,0.0,0.0,0.0,0.0,0.2526817321777344,0.0,0.0,18.192975997924805,0.014084592394906892
2014-12-22,18.34638977050781,0.0,0.0,0.0,0.0,0.15341377258300426,0.0,0.0,18.34638977050781,0.008432582585746529
2014-12-23,18.35270500183105,0.0,0.0,0.0,0.0,0.0063152313232421875,0.0,0.0,18.35270500183105,0.0003442220187317435
2014-12-24,18.38248634338379,0.0,0.0,0.0,0.0,0.029781341552737928,0.0,0.0,18.38248634338379,0.0016227221845372952
2014-12-26,18.590044021606445,0.0,0.0,0.0,0.0,0.20755767822265625,0.0,0.0,18.590044021606445,0.011291055755216828
2014-12-29,18.43392372131348,0.0,0.0,0.0,0.0,-0.1561203002929652,0.0,0.0,18.43392372131348,-0.008398059741629105
2014-12-30,18.31931495666504,0.0,0.0,0.0,0.0,-0.11460876464844105,0.0,0.0,18.31931495666504,-0.006217274541281181
2014-12-31,18.192975997924805,0.0,0.0,0.0,0.0,-0.12633895874023438,0.0,0.0,18.192975997924805,-0.006896489254051952
2015-01-02,18.202001571655277,0.0,0.0,0.0,0.0,0.009025573730472303,0.0,0.0,18.202001571655277,0.0004961021072913407
2015-01-05,17.763418197631836,0.0,0.0,0.0,0.0,-0.43858337402344105,0.0,0.0,17.763418197631836,-0.02409533766365657
2015-01-06,17.696640014648438,0.0,0.0,0.0,0.0,-0.06677818298339844,0.0,0.0,17.696640014648438,-0.003759309286109236
2015-01-07,17.77785873413086,0.0,0.0,0.0,0.0,0.08121871948242188,0.0,0.0,17.77785873413086,0.004589499442560374
2015-01-08,18.174922943115234,0.0,0.0,0.0,0.0,0.397064208984375,0.0,0.0,18.174922943115234,0.022334760047455493
2015-01-09,18.02151107788086,0.0,0.0,0.0,0.0,-0.153411865234375,0.0,0.0,18.02151107788086,-0.008440853681445093
2015-01-12,18.18395233154297,0.0,0.0,0.0,0.0,0.16244125366210938,0.0,0.0,18.18395233154297,0.009013742130729918
2015-01-13,18.03955841064453,0.0,0.0,0.0,0.0,-0.1443939208984375,0.0,0.0,18.03955841064453,-0.007940733580122927
2015-01-14,17.985416412353516,0.0,0.0,0.0,0.0,-0.054141998291015625,0.0,0.0,17.985416412353516,-0.0030012928841466335
2015-01-15,17.579322814941406,0.0,0.0,0.0,0.0,-0.4060935974121094,0.0,0.0,17.579322814941406,-0.022579048941740343
2015-01-16,17.696640014648438,0.0,0.0,0.0,0.0,0.11731719970703125,0.0,0.0,17.696640014648438,0.00667359038468307
2015-01-20,17.949316024780273,0.0,0.0,0.0,0.0,0.25267601013183594,0.0,0.0,17.949316024780273,0.0142781912228922
2015-01-21,18.274194717407227,0.0,0.0,0.0,0.0,0.3248786926269531,0.0,0.0,18.274194717407227,0.01809978119380351
2015-01-22,18.525070190429688,0.0,0.0,0.0,0.0,0.25087547302246094,0.0,0.0,18.525070190429688,0.013728400999442503
2015-01-23,18.617116928100582,0.0,0.0,0.0,0.0,0.09204673767089488,0.0,0.0,18.617116928100582,0.004968765933121677
2015-01-26,18.72540855407715,0.0,0.0,0.0,0.0,0.10829162597656605,0.0,0.0,18.72540855407715,0.005816777452426702
2015-01-27,18.445655822753903,0.0,0.0,0.0,0.0,-0.27975273132324574,0.0,0.0,18.445655822753903,-0.014939739793412121
2015-01-28,18.364437103271484,0.0,0.0,0.0,0.0,-0.08121871948241832,0.0,0.0,18.364437103271484,-0.00440313536492587
2015-01-29,18.400531768798828,0.0,0.0,0.0,0.0,0.03609466552734375,0.0,0.0,18.400531768798828,0.001965465389675014
2015-01-30,18.26517105102539,0.0,0.0,0.0,0.0,-0.1353607177734375,0.0,0.0,18.26517105102539,-0.007356348146577152
2015-02-02,18.379777908325195,0.0,0.0,0.0,0.0,0.11460685729980469,0.0,0.0,18.379777908325195,0.006274611772298266
2015-02-03,18.25614547729492,0.0,0.0,0.0,0.0,-0.12363243103027699,0.0,0.0,18.25614547729492,-0.006726546514703946
2015-02-04,18.463703155517575,0.0,0.0,0.0,0.0,0.20755767822265625,0.0,0.0,18.463703155517575,0.011369195018783973
2015-02-05,18.80662727355957,0.0,0.0,0.0,0.0,0.34292411804199574,0.0,0.0,18.80662727355957,0.018572878644851798
2015-02-06,18.76330947875977,0.0,0.0,0.0,0.0,-0.043317794799801135,0.0,0.0,18.76330947875977,-0.00230332606531225
2015-02-09,18.660430908203125,0.0,0.0,0.0,0.0,-0.10287857055664418,0.0,0.0,18.660430908203125,-0.00548296507463697
2015-02-10,18.815649032592773,0.0,0.0,0.0,0.0,0.15521812438964844,0.0,0.0,18.815649032592773,0.008318035374060617
2015-02-11,18.974477767944336,0.0,0.0,0.0,0.0,0.1588287353515625,0.0,0.0,18.974477767944336,0.008441310479188724
2015-02-12,19.117063522338867,0.0,0.0,0.0,0.0,0.14258575439453125,0.0,0.0,19.117063522338867,0.007514607576468713
