Date,ARKK,^IRX
2014-10-31,18.391508102416992,0.003000000026077032
2014-11-03,18.391508102416992,0.003000000026077032
2014-11-04,18.283218383789062,0.02199999988079071
2014-11-05,18.048587799072266,0.019999999552965164
2014-11-06,18.1749267578125,0.017999999225139618
2014-11-07,18.156877517700195,0.017999999225139618
2014-11-10,18.319313049316406,0.014999999664723873
2014-11-11,18.310291290283203,0.014999999664723873
2014-11-12,18.373464584350586,0.013000000268220901
2014-11-13,18.355411529541016,0.004999999888241291
2014-11-14,18.44565773010254,0.003000000026077032
2014-11-17,18.418582916259766,0.009999999776482582
2014-11-18,18.590045928955078,0.014999999664723873
2014-11-19,18.310291290283203,0.014999999664723873
2014-11-20,18.301267623901367,0.014999999664723873
2014-11-21,18.373464584350586,0.003000000026077032
2014-11-24,18.49077606201172,0.004999999888241291
2014-11-25,18.517852783203125,0.017999999225139618
2014-11-26,18.5539493560791,0.009999999776482582
2014-11-28,18.58102035522461,0.004999999888241291
2014-12-01,18.2922420501709,0.007000000216066837
2014-12-02,18.093706130981445,0.014999999664723873
2014-12-03,18.129806518554688,0.004999999888241291
2014-12-04,18.10272979736328,0.013000000268220901
2014-12-05,18.14785385131836,0.009999999776482582
2014-12-08,17.804929733276367,0.004999999888241291
2014-12-09,17.850051879882812,0.02800000086426735
2014-12-10,17.804929733276367,0.02500000037252903
2014-12-11,17.841026306152344,0.02199999988079071
2014-12-12,17.69483184814453,0.014999999664723873
2014-12-15,17.39883804321289,0.009999999776482582
2014-12-16,17.101037979125977,0.029999999329447746
2014-12-17,17.290546417236328,0.019999999552965164
2014-12-18,17.94029426574707,0.032999999821186066
2014-12-19,18.192974090576172,0.02500000037252903
2014-12-22,18.34638786315918,0.014999999664723873
2014-12-23,18.352705001831055,0.019999999552965164
2014-12-24,18.38248634338379,0.019999999552965164
2014-12-26,18.590045928955078,0.009999999776482582
2014-12-29,18.433923721313477,0.003000000026077032
2014-12-30,18.319313049316406,0.019999999552965164
2014-12-31,18.192974090576172,0.03700000047683716
2015-01-02,18.202001571655273,0.014999999664723873
2015-01-05,17.763418197631836,0.003000000026077032
2015-01-06,17.696640014648438,0.019999999552965164
2015-01-07,17.777860641479492,0.019999999552965164
2015-01-08,18.1749267578125,0.017999999225139618
2015-01-09,18.021512985229492,0.014999999664723873
2015-01-12,18.183948516845703,0.013000000268220901
2015-01-13,18.039562225341797,0.023000000044703484
2015-01-14,17.985416412353516,0.02500000037252903
2015-01-15,17.579320907592773,0.023000000044703484
2015-01-16,17.696640014648438,0.017999999225139618
2015-01-20,17.949317932128906,0.00800000037997961
2015-01-21,18.27419090270996,0.019999999552965164
2015-01-22,18.525068283081055,0.014999999664723873
2015-01-23,18.617115020751953,0.013000000268220901
2015-01-26,18.72541046142578,0.004999999888241291
2015-01-27,18.44565773010254,0.017999999225139618
2015-01-28,18.364437103271484,0.014999999664723873
2015-01-29,18.400531768798828,0.009999999776482582
2015-01-30,18.265167236328125,0.004999999888241291
2015-02-02,18.379779815673828,0.004999999888241291
2015-02-03,18.256145477294922,0.014999999664723873
2015-02-04,18.463703155517578,0.004999999888241291
2015-02-05,18.80662727355957,0.00800000037997961
2015-02-06,18.763309478759766,0.014999999664723873
2015-02-09,18.66043472290039,0.003000000026077032
2015-02-10,18.815650939941406,0.004999999888241291
2015-02-11,18.974475860595703,0.004999999888241291
2015-02-12,19.1170597076416,0.00800000037997961
2015-02-13,19.35711097717285,0.004999999888241291
2015-02-17,19.257843017578125,0.00800000037997961
2015-02-18,19.2849178314209,0.013000000268220901
2015-02-19,19.438329696655273,0.013000000268220901
2015-02-20,19.56827735900879,0.009999999776482582
2015-02-23,19.384180068969727,0.014999999664723873
2015-02-24,19.33184242248535,0.017999999225139618
2015-02-25,19.339059829711914,0.014999999664723873
2015-02-26,19.528568267822266,0.013000000268220901
2015-02-27,19.4112548828125,0.00800000037997961
2015-03-02,19.401329040527344,0.004999999888241291
2015-03-03,19.257843017578125,0.013000000268220901
2015-03-04,19.148645401000977,0.009999999776482582
2015-03-05,19.26866912841797,0.003000000026077032
2015-03-06,18.920331954956055,0.004999999888241291
2015-03-09,18.77052879333496,0.004999999888241291
2015-03-10,18.5701904296875,0.009999999776482582
2015-03-11,18.64870262145996,0.013000000268220901
2015-03-12,18.662240982055664,0.017999999225139618
2015-03-13,18.6044864654541,0.023000000044703484
2015-03-16,18.77052879333496,0.029999999329447746
2015-03-17,18.833702087402344,0.04800000041723251
2015-03-18,18.77052879333496,0.03799999877810478
2015-03-19,19.041259765625,0.009999999776482582
2015-03-20,19.248815536499023,0.003000000026077032
2015-03-23,19.212718963623047,0.003000000026077032
2015-03-24,19.212718963623047,0.014999999664723873
2015-03-25,18.779550552368164,0.017999999225139618
2015-03-26,18.761507034301758,0.02800000086426735
2015-03-27,18.73443031311035,0.029999999329447746
2015-03-30,18.951013565063477,0.023000000044703484
2015-03-31,18.802112579345703,0.02500000037252903
2015-04-01,18.499801635742188,0.032999999821186066
2015-04-02,18.642385482788086,0.009999999776482582
2015-04-06,18.923940658569336,0.003000000026077032
2015-04-07,18.914915084838867,0.014999999664723873
2015-04-08,19.145938873291016,0.017999999225139618
2015-04-09,19.23979377746582,0.019999999552965164
2015-04-10,19.393207550048828,0.014999999664723873
2015-04-13,19.429306030273438,0.004999999888241291
2015-04-14,19.302961349487305,0.009999999776482582
2015-04-15,19.49247169494629,0.014999999664723873
2015-04-16,19.709056854248047,0.009999999776482582
2015-04-17,19.311986923217773,0.013000000268220901
2015-04-20,19.402233123779297,0.013000000268220901
