Date,Ark
2014-11-03,0.0
2014-11-04,-0.005887925117755377
2014-11-05,-0.012833216074991882
2014-11-06,0.007000148055667621
2014-11-07,-0.0009930845091514762
2014-11-10,0.008946330212489473
2014-11-11,-0.0004927848099420817
2014-11-12,0.003450048516307369
2014-11-13,-0.0009823538602001802
2014-11-14,0.004916391317025148
2014-11-17,-0.0014676085363880542
2014-11-18,0.009309136654335859
2014-11-19,-0.015048627014907945
2014-11-20,-0.0004928194302732392
2014-11-21,0.003944812026595912
2014-11-24,0.006385144376327867
2014-11-25,0.0014641302025799607
2014-11-26,0.0019491822117656543
2014-11-28,0.0014591455188741609
2014-12-01,-0.015541473063769962
2014-12-02,-0.010853454229191373
2014-12-03,0.001994979293327148
2014-12-04,-0.0014933869627055119
2014-12-05,0.0024926657172803512
2014-12-08,-0.018896020075037545
2014-12-09,0.002534249921156251
2014-12-10,-0.0025278437333742243
2014-12-11,0.0020272285373446053
2014-12-12,-0.008194285210901708
2014-12-15,-0.016727698091275056
2014-12-16,-0.017116198834422502
2014-12-17,0.011081693373134582
2014-12-18,0.03757821786000903
2014-12-19,0.014084593892331077
2014-12-22,0.008432688309665037
2014-12-23,0.000344118055572773
2014-12-24,0.001622722353182393
2014-12-26,0.011291160685789059
2014-12-29,-0.008398162342173388
2014-12-30,-0.006217068245583657
2014-12-31,-0.006896696769609689
2015-01-02,0.0004961021593024029
2015-01-05,-0.024095235400693027
2015-01-06,-0.0037594166611994995
2015-01-07,0.004589607717499167
2015-01-08,0.022335081911071697
2015-01-09,-0.008441165855817334
2015-01-12,0.009013530456067897
2015-01-13,-0.007940420570305529
2015-01-14,-0.0030013982982525222
2015-01-15,-0.02257915499147467
2015-01-16,0.006673591108764532
2015-01-20,0.014278516102643524
2015-01-21,0.01809945855811934
2015-01-22,0.013728402432329201
2015-01-23,0.004968766444708006
2015-01-26,0.005816675597009713
2015-01-27,-0.014939640978028579
2015-01-28,-0.004403135820226445
2015-01-29,0.001965673315813321
2015-01-30,-0.0073565546985289165
2015-02-02,0.006274716852984197
2015-02-03,-0.0067264427404012395
2015-02-04,0.011369089353902462
2015-02-05,0.018572878644851576
2015-02-06,-0.002303326065312361
2015-02-09,-0.0054829650746367475
2015-02-10,0.008318239801133442
2015-02-11,0.008441106027164524
2015-02-12,0.00751450705467005
2015-02-13,0.01255671293363192
2015-02-17,-0.005128144491412745
2015-02-18,0.001405811983690386
2015-02-19,0.007955018618612586
2015-02-20,0.006685223703946086
2015-02-23,-0.009407945659269168
2015-02-24,-0.0027000185872271265
2015-02-25,0.0003734416212082259
2015-02-26,0.009799257103936254
2015-02-27,-0.00600746489142312
2015-03-02,-0.0005112464892950142
2015-03-03,-0.007395680092301515
2015-03-04,-0.005670293213911659
2015-03-05,0.00626790133479016
2015-03-06,-0.018077708996072306
2015-03-09,-0.007917675769357646
2015-03-10,-0.010673027161525517
2015-03-11,0.004227758714758112
2015-03-12,0.0007259680340871988
2015-03-13,-0.0030950326172674014
2015-03-16,0.008925267874397402
2015-03-17,0.0033655575057540688
2015-03-18,-0.0033542685221531476
2015-03-19,0.014423092067472165
2015-03-20,0.010900618775544935
2015-03-23,-0.0018754598354625562
2015-03-24,0.0
2015-03-25,-0.022545720747686016
2015-03-26,-0.0009610096390424427
2015-03-27,-0.001443206089036586
2015-03-30,0.011560706588529701
2015-03-31,-0.007857050909595653
2015-04-01,-0.01607876382811735
2015-04-02,0.007707421512011869
2015-04-06,0.015103060892600606
2015-04-07,-0.0004768386054018192
2015-04-08,0.012213839756818334
2015-04-09,0.004901779121473382
2015-04-10,0.007973675924875856
2015-04-13,0.0018614968452805858
2015-04-14,-0.006502691637238156
2015-04-15,0.009817682480311118
2015-04-16,0.011111220921147247
2015-04-17,-0.020146571901774712
2015-04-20,0.004672967808630579
2015-04-21,0.0042789493133204015
2015-04-22,0.007780530789112339
2015-04-23,0.01034037730944859
2015-04-24,9.084942481729641e-05
2015-04-27,0.011051861946027364
2015-04-28,-0.02249199495481069
2015-04-29,-0.008283487386706812
2015-04-30,-0.027610204106252145
2015-05-01,-0.007873922827567936
2015-05-04,0.010678261113556076
2015-05-05,-0.011517311978742728
2015-05-06,-0.006259202989324253
2015-05-07,0.010659199806337893
2015-05-08,-0.0009589086760058985
2015-05-11,0.007677415487831851
2015-05-12,-0.004761775838838744
2015-05-13,0.005263196749105026
2015-05-14,0.008091426184661188
2015-05-15,-0.0022664506526574035
2015-05-18,0.005536672793409858
2015-05-19,0.0005177249940320205
2015-05-20,-0.0018816350451171804
2015-05-21,0.008953893662851264
2015-05-22,0.0021954092954097337
2015-05-26,-0.0068510550567656425
2015-05-27,0.0004692306769151777
2015-05-28,0.01219506875649845
2015-05-29,0.0007416108940407895
2015-06-01,-0.003519258296666883
2015-06-02,0.001765794500963036
2015-06-03,0.005659131680843199
2015-06-04,-0.0036900732340761078
2015-06-05,0.0011574738868744827
2015-06-08,-0.0011561356900035014
2015-06-09,-0.006481423224176885
2015-06-10,0.018173167277149904
2015-06-11,-0.003203536174624988
2015-06-12,-0.005968752720204251
2015-06-15,-0.012932908705629353
2015-06-16,0.011698620788558767
2015-06-17,0.009713139911271096
2015-06-18,0.01007785261930838
2015-06-19,-0.0022674163310912876
2015-06-22,0.0022725691915899127
2015-06-23,0.008163178059806597
2015-06-24,-0.013045290519581143
2015-06-25,-0.0018232200941473709
2015-06-26,-0.0073059116590868944
2015-06-29,-0.02667892810240957
2015-06-30,0.008979281907160575
2015-07-01,-0.0018736040902105344
2015-07-02,-0.0029095079068492957
