Date,ARKK,IEF,SHY,TLT,^IRX
2014-10-31,20.3799991607666,105.0199966430664,84.69999694824219,119.25,0.003000000026077
2014-11-03,20.3799991607666,104.8000030517578,84.66000366210938,118.95999908447266,0.003000000026077
2014-11-04,20.260000228881836,104.79000091552734,84.6500015258789,119.33000183105467,0.0219999998807907
2014-11-05,20.0,104.81999969482422,84.62999725341797,119.16000366210938,0.0199999995529651
2014-11-06,20.13999938964844,104.5,84.61000061035156,118.38999938964844,0.0179999992251396
2014-11-07,20.1200008392334,105.16999816894533,84.66999816894531,119.75,0.0179999992251396
2014-11-10,20.299999237060547,104.73999786376952,84.61000061035156,118.6500015258789,0.0149999996647238
2014-11-11,20.290000915527344,104.75,84.5999984741211,118.7300033569336,0.0149999996647238
2014-11-12,20.36000061035156,104.70999908447266,84.62999725341797,118.62999725341795,0.0130000002682209
2014-11-13,20.34000015258789,104.87999725341795,84.6500015258789,118.91000366210938,0.0049999998882412
2014-11-14,20.440000534057617,105.0999984741211,84.69000244140625,119.48999786376952,0.003000000026077
2014-11-17,20.40999984741211,104.9800033569336,84.68000030517578,119.19000244140624,0.0099999997764825
2014-11-18,20.600000381469727,105.0999984741211,84.66999816894531,119.5199966430664,0.0149999996647238
2014-11-19,20.290000915527344,104.81999969482422,84.66000366210938,118.76000213623048,0.0149999996647238
2014-11-20,20.280000686645508,105.01000213623048,84.68000030517578,119.37999725341795,0.0149999996647238
2014-11-21,20.36000061035156,105.22000122070312,84.69999694824219,120.0999984741211,0.003000000026077
2014-11-24,20.489999771118164,105.33999633789062,84.70999908447266,120.1999969482422,0.0049999998882412
2014-11-25,20.520000457763672,105.5999984741211,84.72000122070312,121.1999969482422,0.0179999992251396
2014-11-26,20.559999465942383,105.77999877929688,84.7300033569336,121.52999877929688,0.0099999997764825
2014-11-28,20.59000015258789,106.19000244140624,84.76000213623047,122.48999786376952,0.0049999998882412
2014-12-01,20.270000457763672,105.75,84.7300033569336,121.5,0.0070000002160668
2014-12-02,20.049999237060547,105.27999877929688,84.68000030517578,120.31999969482422,0.0149999996647238
2014-12-03,20.09000015258789,105.31999969482422,84.63999938964844,120.79000091552734,0.0049999998882412
2014-12-04,20.059999465942383,105.69000244140624,84.69000244140625,121.8000030517578,0.0130000002682209
2014-12-05,20.11000061035156,105.0999984741211,84.52999877929688,121.08999633789062,0.0099999997764825
2014-12-08,19.729999542236328,105.4499969482422,84.5199966430664,122.56999969482422,0.0049999998882412
2014-12-09,19.780000686645508,105.83999633789062,84.55000305175781,123.1999969482422,0.0280000008642673
2014-12-10,19.729999542236328,106.31999969482422,84.62000274658203,124.0999984741211,0.025000000372529
2014-12-11,19.770000457763672,106.13999938964844,84.58000183105469,124.61000061035156,0.0219999998807907
2014-12-12,19.607999801635746,107.01000213623048,84.66000366210938,126.3000030517578,0.0149999996647238
2014-12-15,19.280000686645508,106.62000274658205,84.5999984741211,126.04000091552734,0.0099999997764825
2014-12-16,18.950000762939453,107.16000366210938,84.6500015258789,127.5999984741211,0.0299999993294477
2014-12-17,19.15999984741211,106.41999816894533,84.56999969482422,126.4499969482422,0.0199999995529651
2014-12-18,19.8799991607666,105.81999969482422,84.5199966430664,124.1999969482422,0.032999999821186
2014-12-19,20.15999984741211,106.20999908447266,84.45999908447266,125.87000274658205,0.025000000372529
2014-12-22,20.329999923706055,106.20999908447266,84.4800033569336,126.04000091552734,0.0149999996647238
2014-12-23,20.336999893188477,105.33000183105467,84.38999938964844,123.54000091552734,0.0199999995529651
2014-12-24,20.3700008392334,105.25,84.4000015258789,123.9499969482422,0.0199999995529651
2014-12-26,20.600000381469727,105.38999938964844,84.37000274658203,124.41000366210938,0.0099999997764825
2014-12-29,20.427000045776367,105.75,84.44999694824219,125.33999633789062,0.003000000026077
2014-12-30,20.299999237060547,105.87000274658205,84.4800033569336,125.68000030517578,0.0199999995529651
2014-12-31,20.15999984741211,105.98999786376952,84.44999694824219,125.91999816894533,0.0370000004768371
2015-01-02,20.170000076293945,106.52999877929688,84.54000091552734,127.31999969482422,0.0149999996647238
2015-01-05,19.68400001525879,107.18000030517578,84.54000091552734,129.32000732421875,0.003000000026077
2015-01-06,19.61000061035156,107.9000015258789,84.58000183105469,131.64999389648438,0.0199999995529651
2015-01-07,19.700000762939453,107.87999725341795,84.62000274658203,131.38999938964844,0.0199999995529651
2015-01-08,20.13999938964844,107.44000244140624,84.61000061035156,129.64999389648438,0.0179999992251396
2015-01-09,19.969999313354492,107.97000122070312,84.68000030517578,131.07000732421875,0.0149999996647238
2015-01-12,20.149999618530273,108.3499984741211,84.7300033569336,131.82000732421875,0.0130000002682209
2015-01-13,19.989999771118164,108.4499969482422,84.77999877929688,131.82000732421875,0.0230000000447034
2015-01-14,19.93000030517578,108.9499969482422,84.83000183105469,132.82000732421875,0.025000000372529
2015-01-15,19.479999542236328,109.87999725341795,84.95999908447266,134.91000366210938,0.0230000000447034
2015-01-16,19.61000061035156,109.06999969482422,84.87999725341797,133.19000244140625,0.0179999992251396
2015-01-20,19.88999938964844,109.31999969482422,84.83999633789062,134.9600067138672,0.0080000003799796
2015-01-21,20.25,108.8000030517578,84.83999633789062,133.39999389648438,0.0199999995529651
2015-01-22,20.527999877929688,108.52999877929688,84.80999755859375,132.9199981689453,0.0149999996647238
2015-01-23,20.6299991607666,109.23999786376952,84.8499984741211,134.77000427246094,0.0130000002682209
2015-01-26,20.75,108.98999786376952,84.80000305175781,134.36000061035156,0.0049999998882412
