Date,ARKK,ZF=F,ZN=F,ZT=F
2015-01-02,18.20199966430664,119.09375,127.15625,109.3203125
2015-01-05,17.76342010498047,119.3125,127.765625,109.3359375
2015-01-06,17.69664192199707,119.6953125,128.359375,109.40625
2015-01-07,17.777856826782227,119.796875,128.46875,109.453125
2015-01-08,18.1749267578125,119.703125,128.109375,109.46875
2015-01-09,18.02151107788086,119.984375,128.578125,109.5390625
2015-01-12,18.183950424194336,120.265625,129.0625,109.59375
2015-01-13,18.03956413269043,120.4375,129.3125,109.6484375
2015-01-14,17.985416412353516,120.734375,129.765625,109.7421875
2015-01-15,17.579322814941406,121.125,130.34375,109.8359375
2015-01-16,17.69664192199707,120.796875,129.859375,109.765625
2015-01-20,17.949317932128906,120.75,129.859375,109.75
2015-01-21,18.274192810058594,120.546875,129.4375,109.7265625
2015-01-22,18.525070190429688,120.359375,129.125,109.6796875
2015-01-23,18.617116928100586,120.625,129.671875,109.7421875
2015-01-26,18.72541046142578,120.4765625,129.5,109.6875
2015-01-27,18.445655822753906,120.5703125,129.65625,109.71875
2015-01-28,18.36443519592285,121.03125,130.46875,109.796875
2015-01-29,18.40053367614746,120.8828125,130.1875,109.7734375
2015-01-30,18.265169143676758,121.34375,130.875,109.8828125
2015-02-02,18.379777908325195,121.3515625,130.921875,109.890625
2015-02-03,18.25614356994629,120.8984375,130.0625,109.8203125
2015-02-04,18.463703155517578,120.8515625,130.0,109.796875
2015-02-05,18.806625366210938,120.8203125,129.859375,109.78125
2015-02-06,18.763307571411133,119.96875,128.71875,109.5234375
2015-02-09,18.660430908203125,119.8671875,128.609375,109.53125
2015-02-10,18.815650939941406,119.7421875,128.359375,109.5078125
2015-02-11,18.974477767944336,119.7421875,128.359375,109.515625
2015-02-12,19.117063522338867,119.875,128.421875,109.5625
2015-02-13,19.35710906982422,119.796875,128.234375,109.5546875
2015-02-17,19.257841110229492,119.3125,127.25,109.4921875
2015-02-18,19.284914016723633,119.8359375,128.015625,109.640625
2015-02-19,19.438329696655273,119.578125,127.59375,109.59375
2015-02-20,19.568275451660156,119.4296875,127.40625,109.546875
2015-02-23,19.38418197631836,119.734375,128.015625,109.6328125
2015-02-24,19.33184051513672,120.1796875,128.6875,109.7421875
2015-02-25,19.339059829711914,120.15625,128.71875,109.7265625
2015-02-26,19.5285701751709,119.8671875,128.28125,109.65625
2015-02-27,19.4112548828125,119.9921875,128.421875,109.703125
2015-03-02,19.401329040527344,119.65625,127.765625,109.625
2015-03-03,19.257841110229492,119.4765625,127.46875,109.5859375
2015-03-04,19.14864730834961,119.59375,127.5625,109.6171875
2015-03-05,19.26866912841797,119.7421875,127.71875,109.6640625
2015-03-06,18.920331954956055,119.171875,126.75,109.4921875
2015-03-09,18.770530700683594,119.375,127.09375,109.5703125
2015-03-10,18.570186614990234,119.5703125,127.5625,109.609375
2015-03-11,18.64870262145996,119.5625,127.609375,109.6015625
2015-03-12,18.66223907470703,119.7265625,127.828125,109.6640625
2015-03-13,18.604482650756836,119.734375,127.765625,109.6796875
2015-03-16,18.770530700683594,119.8046875,127.84375,109.65625
2015-03-17,18.833698272705078,119.84375,128.109375,109.6328125
2015-03-18,18.770530700683594,120.5546875,129.15625,109.84375
2015-03-19,19.041259765625,120.28125,128.8125,109.734375
2015-03-20,19.24881935119629,120.6015625,129.21875,109.78125
2015-03-23,19.212722778320312,120.6796875,128.84375,109.796875
2015-03-24,19.212722778320312,120.8203125,129.09375,109.8359375
2015-03-25,18.77955436706543,120.6484375,128.8125,109.84375
2015-03-26,18.761507034301758,120.3828125,128.234375,109.796875
2015-03-27,18.734434127807617,120.6484375,128.6875,109.8671875
2015-03-30,18.951017379760742,120.6328125,128.59375,109.84375
2015-03-31,18.802114486694336,120.8828125,128.90625,109.9140625
2015-04-01,18.499801635742188,120.4296875,129.375,109.6171875
2015-04-02,18.64238739013672,120.375,129.171875,109.609375
2015-04-06,18.9239444732666,120.6015625,129.421875,109.6953125
2015-04-07,18.914918899536133,120.484375,129.359375,109.65625
2015-04-08,19.145938873291016,120.46875,129.359375,109.6484375
2015-04-09,19.23979377746582,120.1875,128.84375,109.609375
2015-04-10,19.393205642700195,120.1328125,128.8125,109.578125
2015-04-13,19.429304122924805,120.265625,128.984375,109.625
2015-04-14,19.30296516418457,120.4453125,129.3125,109.671875
2015-04-15,19.492473602294922,120.5546875,129.4375,109.7109375
2015-04-16,19.709054946899414,120.7265625,129.6875,109.7578125
2015-04-17,19.311986923217773,120.703125,129.8125,109.71875
2015-04-20,19.4022274017334,120.5859375,129.53125,109.6640625
2015-04-21,19.48525047302246,120.5,129.359375,109.671875
2015-04-22,19.636863708496094,120.2734375,128.859375,109.6328125
2015-04-23,19.839908599853516,120.4453125,129.140625,109.6640625
2015-04-24,19.841711044311523,120.640625,129.390625,109.7265625
2015-04-27,20.061002731323242,120.5625,129.3125,109.7109375
2015-04-28,19.609790802001953,120.390625,128.953125,109.6875
2015-04-29,19.447351455688477,120.234375,128.515625,109.671875
2015-04-30,18.91040802001953,120.1328125,128.375,109.6328125
2015-05-01,18.761507034301758,119.8359375,127.78125,109.5859375
2015-05-04,18.961841583251953,119.875,127.765625,109.6015625
2015-05-05,18.743457794189453,119.65625,127.421875,109.546875
2015-05-06,18.626140594482422,119.515625,127.09375,109.515625
2015-05-07,18.824678421020508,119.59375,127.390625,109.53125
2015-05-08,18.806625366210938,119.9453125,127.828125,109.65625
2015-05-11,18.951017379760742,119.4921875,126.890625,109.5859375
2015-05-12,18.860769271850586,119.6171875,127.046875,109.6171875
2015-05-13,18.960041046142578,119.7109375,126.984375,109.6875
2015-05-14,19.11345100402832,119.9765625,127.390625,109.7578125
2015-05-15,19.07013702392578,120.1953125,128.03125,109.765625
2015-05-18,19.175722122192383,119.859375,127.375,109.703125
2015-05-19,19.185649871826172,119.59375,127.03125,109.6328125
2015-05-20,19.149545669555664,119.78125,127.265625,109.671875
2015-05-21,19.32101058959961,119.9921875,127.71875,109.6875
2015-05-22,19.363426208496094,119.65625,127.28125,109.6015625
2015-05-26,19.230764389038086,119.9375,127.90625,109.6328125
2015-05-27,19.23979377746582,119.9140625,127.890625,109.6328125
2015-05-28,19.474424362182617,120.0859375,128.03125,109.6875
2015-05-29,19.488862991333008,120.2578125,128.3125,109.734375
2015-06-01,19.42028045654297,119.84375,127.5625,109.6484375
2015-06-02,19.454572677612305,119.6328125,127.0,109.625
2015-06-03,19.564666748046875,119.3125,126.25,109.5703125
2015-06-04,19.492473602294922,119.53125,126.703125,109.6015625
2015-06-05,19.515033721923828,119.078125,125.9375,109.515625
2015-06-08,19.492473602294922,119.2734375,126.140625,109.6015625
2015-06-09,19.366132736206055,119.1640625,125.90625,109.5390625
2015-06-10,19.71807861328125,118.953125,125.484375,109.5078125
2015-06-11,19.654909133911133,119.234375,126.140625,109.5234375
2015-06-12,19.5375919342041,119.203125,126.09375,109.5234375
2015-06-15,19.284914016723633,119.3515625,126.359375,109.5859375
2015-06-16,19.510522842407227,119.5,126.640625,109.609375
2015-06-17,19.700031280517578,119.78125,126.90625,109.6953125
2015-06-18,19.8985652923584,119.6875,126.640625,109.703125
2015-06-19,19.853445053100586,120.0,127.265625,109.7578125
2015-06-22,19.8985652923584,119.6640625,125.828125,109.671875
2015-06-23,20.061002731323242,119.484375,125.453125,109.6484375
2015-06-24,19.799299240112305,119.625,125.734375,109.6953125
2015-06-25,19.763202667236328,119.5546875,125.578125,109.6875
2015-06-26,19.61881446838379,119.3125,125.015625,109.6328125
2015-06-29,19.095407485961914,119.9140625,126.203125,109.7578125
2015-06-30,19.266868591308594,119.9375,126.171875,109.7578125
