Date,TSLA,COIN,ROKU,RBLX,TEM,PLTR,HOOD,SHOP,CRSP,ACHR,META,AMZN,TWST,XYZ,PD,AMD,BEAM,GTLB,TER,TXG,RXRX,TTD,NTRA,PINS,NTLA,ILMN,DE,IRDM,VCYT,NVDA,GH,PACB,CERS,SOFI
2014-11-03,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-04,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-05,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-06,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-07,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-10,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-11,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-12,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-13,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
2014-11-14,0.47938931297709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885496183206107,0.08206106870229009,0.0,0.0,0.0,0.0732824427480916,0.0,0.0,0.06183206106870231,0.0,0.0,0.0,0.0,0.0,0.0,0.04083969465648856,0.03893129770992367,0.03854961832061069,0.03702290076335878,0.03282442748091604,0.0,0.017175572519083974,0.00954198473282443,0.0
