Date,QQQ
2014-11-03,0.29586751490411345
2014-11-04,-0.03942502878011567
2014-11-05,-0.02955242621660581
2014-11-06,0.28601125770908453
2014-11-07,0.1972722522168846
2014-11-10,0.552301828343893
2014-11-11,0.8678736849538238
2014-11-12,1.0453680413067046
2014-11-13,1.4793048837836054
2014-11-14,1.7948930857620171
2014-11-17,1.4891938317155962
2014-11-18,2.2485424426289757
2014-11-19,1.7850368285669882
2014-11-20,2.238637149328504
2014-11-21,2.435901228861148
2014-11-24,3.2347320773443045
2014-11-25,3.39252209199139
2014-11-26,4.06313169741257
2014-11-28,4.546366171233074
2014-12-01,3.3629206296693415
2014-12-02,3.7771286123877035
2014-12-03,3.9645200893568378
2014-12-04,3.915238803381693
2014-12-05,3.925046024471257
2014-12-08,3.1854099279479353
2014-12-09,3.510854387121376
2014-12-10,1.8836484366226758
2014-12-11,2.366866565074721
2014-12-12,1.2524883780343332
2014-12-15,0.20712033672762864
2014-12-16,-1.4003649266967844
2014-12-17,0.3945118136967629
2014-12-18,2.810659664746651
2014-12-19,3.263074946293165
2014-12-22,3.520440945736447
2014-12-23,3.154173928777637
2014-12-24,3.2432807050607027
2014-12-26,3.975757530188617
2014-12-29,3.9559387709034333
2014-12-30,3.263074946293165
2014-12-31,2.2038787232501633
2015-01-02,1.897043466094206
2015-01-05,0.40232489983147435
2015-01-06,-0.9438796483980605
2015-01-07,0.33302053746511184
2015-01-08,2.2533970170682815
2015-01-09,1.5802620522165522
2015-01-12,0.5211148652789932
2015-01-13,0.4913989853775558
2015-01-14,-0.06290515060544122
2015-01-15,-1.3596404411223006
2015-01-16,-0.20149752996967418
2015-01-20,0.5904192276453335
2015-01-21,1.1051348811633943
2015-01-22,2.9760094123169267
2015-01-23,3.2036431864902903
2015-01-26,3.0848695664112524
2015-01-27,0.41221384776342074
2015-01-28,-0.10250997843889165
2015-01-29,0.8576578296520809
2015-01-30,0.07567905607448466
2015-02-02,0.9467237425139219
2015-02-03,1.9168213619580987
2015-02-04,1.8277309310435141
2015-02-05,2.708713601520385
2015-02-06,2.0851051031710144
2015-02-09,1.758434741361392
2015-02-10,3.3422519112229487
2015-02-11,3.7183588400083067
2015-02-12,4.9260363903475435
2015-02-13,5.826805129372636
2015-02-17,5.925784508219234
2015-02-18,6.074290353568168
2015-02-19,6.598878609649761
2015-02-20,7.3116020569664375
2015-02-23,7.420494901797725
2015-02-24,7.499680039411838
2015-02-25,7.232425092036565
2015-02-26,7.776840280087582
2015-02-27,7.301696763665966
2015-03-02,8.271761692373204
2015-03-03,7.766926814102892
2015-03-04,7.351198712115625
2015-03-05,7.539260349192545
2015-03-06,6.321718368974039
2015-03-09,6.6286108349197015
2015-03-10,4.648851631619122
2015-03-11,4.045029201817973
2015-03-12,4.728020423864754
2015-03-13,4.272712012096802
2015-03-16,5.618916560326359
2015-03-17,5.7871921288550565
2015-03-18,6.826577765297137
2015-03-19,6.984939867841122
2015-03-20,7.67748495776599
2015-03-23,7.469114200349414
2015-03-24,7.082202982997043
2015-03-25,4.631574577133035
2015-03-26,4.274395585050561
2015-03-27,4.691128927199495
2015-03-30,5.891606342722144
2015-03-31,4.770461173129958
2015-04-01,4.224803737074256
2015-04-02,4.294247035072729
2015-04-06,5.147491615234601
2015-04-07,4.968893946509123
2015-04-08,5.802295249333067
2015-04-09,6.4670777308901695
2015-04-10,6.9036134869558285
2015-04-13,6.635712897525492
2015-04-14,6.328166616840547
2015-04-15,6.992875544239485
2015-04-16,6.844059136889369
2015-04-17,5.177256531241481
2015-04-20,6.754772561552991
2015-04-21,7.211135249588074
2015-04-22,7.79652827642503
2015-04-23,8.20329094379957
2015-04-24,9.67165260338405
2015-04-27,9.393879411390206
2015-04-28,9.175611533357376
2015-04-29,8.491002119830826
2015-04-30,6.784529304875608
2015-05-01,8.193393823183337
2015-05-04,8.371966973856093
2015-05-05,6.605956154202874
2015-05-06,5.871787583436983
2015-05-07,6.50669073140786
2015-05-08,7.836214831100885
2015-05-11,7.419473316267711
2015-05-12,6.9333702302784905
2015-05-13,7.151638108311298
2015-05-14,8.719224327269615
2015-05-15,8.719224327269615
2015-05-18,9.195446638011084
2015-05-19,9.076403319352067
2015-05-20,9.145797581245073
2015-05-21,9.711347330744125
2015-05-22,9.602217478069841
2015-05-26,8.342193885164972
2015-05-27,10.088369600164505
2015-05-28,9.840320460756313
2015-05-29,9.185508653973606
2015-06-01,9.552568421303832
2015-06-02,9.205368276680016
2015-06-03,9.532774180071367
2015-06-04,8.699348359194703
2015-06-05,8.441410271854544
2015-06-08,7.3401328976529845
2015-06-09,7.161543401611747
2015-06-10,8.629921406564712
2015-06-11,8.788667625268044
2015-06-12,7.895711972377639
2015-06-15,7.359968002306672
2015-06-16,7.9453283384066875
2015-06-17,8.242993843843882
2015-06-18,9.820501701471152
2015-06-19,9.277541251215094
2015-06-22,10.083041010039185
2015-06-23,10.172531902481596
2015-06-24,9.60573173229362
2015-06-25,9.386916284416635
2015-06-26,8.660977606681763
2015-06-29,6.095392224279417
2015-06-30,6.47323993480815
2015-07-01,7.318516147834719
2015-07-02,7.348370963368245
2015-07-06,7.099733390694696
2015-07-07,7.368246931443134
2015-07-08,5.498712720505172
2015-07-09,5.439027607490843
2015-07-10,7.0500434705075055
2015-07-13,8.92950749279866
2015-07-14,9.645483668443378
2015-07-15,9.76480485836657
2015-07-16,11.316086572263462
2015-07-17,12.956908214708207
2015-07-20,13.34475111806408
2015-07-21,13.275136193696557
2015-07-22,11.992327157126903
2015-07-23,11.574645783605963
