Date,ARKK,SPY,ZF=F,ZN=F,ZT=F
2015-01-02,18.20199966430664,172.0752410888672,119.09375,127.15625,109.3203125
2015-01-05,17.763418197631836,168.96763610839844,119.3125,127.765625,109.3359375
2015-01-06,17.696640014648438,167.37611389160156,119.6953125,128.359375,109.40625
2015-01-07,17.77785873413086,169.46180725097656,119.796875,128.46875,109.453125
2015-01-08,18.174924850463867,172.46896362304688,119.703125,128.109375,109.46875
2015-01-09,18.02151107788086,171.08680725097656,119.984375,128.578125,109.5390625
2015-01-12,18.183948516845703,169.7466278076172,120.265625,129.0625,109.59375
2015-01-13,18.039562225341797,169.26922607421875,120.4375,129.3125,109.6484375
2015-01-14,17.985416412353516,168.2472686767578,120.734375,129.765625,109.7421875
2015-01-15,17.579322814941406,166.70599365234375,121.125,130.34375,109.8359375
2015-01-16,17.696640014648438,168.89224243164062,120.796875,129.859375,109.765625
2015-01-20,17.949317932128906,169.25234985351562,120.75,129.859375,109.75
2015-01-21,18.274192810058594,170.1068115234375,120.546875,129.4375,109.7265625
2015-01-22,18.525068283081055,172.63645935058594,120.359375,129.125,109.6796875
2015-01-23,18.617116928100586,171.68992614746094,120.625,129.671875,109.7421875
2015-01-26,18.72540855407715,172.09194946289062,120.4765625,129.5,109.6875
2015-01-27,18.445655822753906,169.82203674316406,120.5703125,129.65625,109.71875
2015-01-28,18.364437103271484,167.6441650390625,121.03125,130.46875,109.796875
2015-01-29,18.400531768798828,169.19378662109375,120.8828125,130.1875,109.7734375
2015-01-30,18.26517105102539,167.0662078857422,121.34375,130.875,109.8828125
2015-02-02,18.379779815673828,169.13514709472656,121.3515625,130.921875,109.890625
2015-02-03,18.256145477294922,171.58102416992188,120.8984375,130.0625,109.8203125
2015-02-04,18.463703155517578,170.9276885986328,120.8515625,130.0,109.796875
2015-02-05,18.806631088256836,172.6531982421875,120.8203125,129.859375,109.78125
2015-02-06,18.763309478759766,172.17581176757812,119.96875,128.71875,109.5234375
2015-02-09,18.66043472290039,171.40516662597656,119.8671875,128.609375,109.53125
2015-02-10,18.815654754638672,173.2311553955078,119.7421875,128.359375,109.5078125
2015-02-11,18.974477767944336,173.3317108154297,119.7421875,128.359375,109.515625
2015-02-12,19.117061614990234,174.99864196777344,119.875,128.421875,109.5625
2015-02-13,19.35711097717285,175.7189178466797,119.796875,128.234375,109.5546875
2015-02-17,19.257841110229492,175.995361328125,119.3125,127.25,109.4921875
2015-02-18,19.284915924072266,176.01211547851562,119.8359375,128.015625,109.640625
2015-02-19,19.43832778930664,175.886474609375,119.578125,127.59375,109.59375
2015-02-20,19.56827735900879,176.94190979003906,119.4296875,127.40625,109.546875
2015-02-23,19.384180068969727,176.91673278808594,119.734375,128.015625,109.6328125
2015-02-24,19.331844329833984,177.4193572998047,120.1796875,128.6875,109.7421875
2015-02-25,19.339059829711914,177.26861572265625,120.15625,128.71875,109.7265625
2015-02-26,19.528568267822266,177.05909729003906,119.8671875,128.28125,109.65625
2015-02-27,19.4112548828125,176.45603942871094,119.9921875,128.421875,109.703125
2015-03-02,19.401329040527344,177.57009887695312,119.65625,127.765625,109.625
2015-03-03,19.257841110229492,176.84136962890625,119.4765625,127.46875,109.5859375
2015-03-04,19.148645401000977,176.0959014892578,119.59375,127.5625,109.6171875
2015-03-05,19.2686710357666,176.28854370117188,119.7421875,127.71875,109.6640625
2015-03-06,18.920333862304688,173.80917358398438,119.171875,126.75,109.4921875
2015-03-09,18.77052879333496,174.52952575683594,119.375,127.09375,109.5703125
2015-03-10,18.5701904296875,171.6982879638672,119.5703125,127.5625,109.609375
2015-03-11,18.648700714111328,171.2962188720703,119.5625,127.609375,109.6015625
2015-03-12,18.66223907470703,173.4740753173828,119.7265625,127.828125,109.6640625
2015-03-13,18.604482650756836,172.41030883789062,119.734375,127.765625,109.6796875
2015-03-16,18.77052879333496,174.71377563476562,119.8046875,127.84375,109.65625
2015-03-17,18.833702087402344,174.1944580078125,119.84375,128.109375,109.6328125
2015-03-18,18.77052879333496,176.28854370117188,120.5546875,129.15625,109.84375
2015-03-19,19.041255950927734,175.484375,120.28125,128.8125,109.734375
2015-03-20,19.248815536499023,177.03334045410156,120.6015625,129.21875,109.78125
2015-03-23,19.212722778320312,176.6884002685547,120.6796875,128.84375,109.796875
2015-03-24,19.212722778320312,175.6956024169922,120.8203125,129.09375,109.8359375
2015-03-25,18.779552459716797,173.12098693847656,120.6484375,128.8125,109.84375
2015-03-26,18.761507034301758,172.70867919921875,120.3828125,128.234375,109.796875
2015-03-27,18.73443031311035,173.1041717529297,120.6484375,128.6875,109.8671875
2015-03-30,18.95101547241211,175.21600341796875,120.6328125,128.59375,109.84375
2015-03-31,18.802112579345703,173.68472290039062,120.8828125,128.90625,109.9140625
2015-04-01,18.49980354309082,173.07052612304688,120.4296875,129.375,109.6171875
2015-04-02,18.64238739013672,173.69313049316406,120.375,129.171875,109.609375
2015-04-06,18.92394256591797,174.8626708984375,120.6015625,129.421875,109.6953125
2015-04-07,18.914918899536133,174.39988708496094,120.484375,129.359375,109.65625
2015-04-08,19.14594078063965,174.98887634277344,120.46875,129.359375,109.6484375
2015-04-09,19.239791870117188,175.7628936767578,120.1875,128.84375,109.609375
2015-04-10,19.393205642700195,176.72206115722656,120.1328125,128.8125,109.578125
2015-04-13,19.429302215576172,175.9227294921875,120.265625,128.984375,109.625
2015-04-14,19.30296516418457,176.2593231201172,120.4453125,129.3125,109.671875
2015-04-15,19.492475509643555,177.05026245117188,120.5546875,129.4375,109.7109375
